species,Tree.label,section,flower.colour,calyptra,sepal.dimorph,hyaline,sepal.shape,opn.cylx,K.avg,L.avg,Cylx.Fuion,Ptl.fusion,D.avg,E.avg,C.avg,B.avg,A.avg,Fil.avg,Anth.avg,Lip,Stam.disc,Anth.folding,Styl.fil.oil,H.avg,I.avg,ovl.orientation,ovl.attachment,style.hooked,Styl.avg,fr.wdth.avg,fr.lgnth.avg,calyx.remains,fr.colour,pericrp.avg,ctlydn.interlck,testa,hypctl,oil,ctyldn.wdth.avg,ctyldn.lgnth.avg,Inflorescence.habit..erect.pendant.
syzygioides,SYZ006_S_syzygioides,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Acute sepals,open sepals TBA,0.7525,1.0575,Free sepals,Fused petals,impute,impute,2.72,1.508,1.055,1.557,0.278,Lip absent,disc ascending,Filaments fold at base,Oil glands absent,0.517,0.522,Ascending ovules,Basal ovules, Style curved once,2.928,6.92,6.77,calyx deciduous,purple,0.977,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,5.158,3.887,erect
tierneyanum,SYZ072_S_tierneyanum_AUSTRALIA,caryophyllus,yellow,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,1.83,2.195,Free sepals,Free petals,2.77,3.39,5.21,3.585,2.205,4.715,0.575,Lip present,disc flat,Filaments fold at base,Oil glands absent,0.93,0.925,Ascending ovules,Basal ovules, Style curved once,9.76,6.59,5.45,calyx deciduous,pink,1.033,cotyledons interlocking,testa free,hypocotyl visible,oil glands absent,5.205,4.245,pseudo-erect
adelphicum,SYZ185_S_adelphicum,caryophyllus,green,Calycine calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,0.6,0.67,Fused sepals,Fused petals,1.54,1.18,2.14,1.34,0.94,1.05,0.29,Lip absent,disc ascending,Filaments fold in middle,Oil glands on anthers,0.81,0.83,Ascending ovules,Basal ovules, Style curved once,2.244,4.69,5.73,calyx deciduous,red,0.445,cotyledons interlocking,testa free,hypocotyl visible,oil glands present,1.875,2.455,erect
roemeri,SYZ287_S_roemeri,caryophyllus,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,open sepals TBA,2.23,2.82,Free sepals,Free petals,4.35,4.12,5.23,4.53,1,3.1,0.82,Lip absent,disc ascending,Filaments fold in middle,Oil glands on filaments and anthers,1.33,1.42,Ascending ovules,Basal ovules, Style curved once,7.568,lit,lit,calyx deciduous,no colour info on specimen sheet,lit,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,lit,lit,pendant
xerampelinum,SYZ260_S_xerampelinum,caryophyllus,white,No calyptra,Dimorphic sepals,Hyaline present,Sepals mixed shape,open sepals TBA,1.705,2.24,Free sepals,Free petals,3.685,3.12,6.605,4.4,1.915,2.385,0.68,Lip absent,disc ascending,Filaments fold in middle,Oil glands on filaments and anthers,1.03,1.39,Ascending ovules,Basal ovules, Style curved once,2.939,14.5,14.5,calyx remains,red,3.5,cotyledons interlocking,testa adhering,hypocotyl not visible,oil glands absent,11,11,pendant
bungadinnia,SYZ328_S_bungadinnia,caryophyllus,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,2.65,3,Free sepals,Fused petals,impute,impute,8.68,5.91,2.38,4.87,0.59,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,1.82,1.64,Ascending ovules,Basal ovules,Style bent,6.88,55,42.5,calyx remains,white,impute,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands absent,25,25,erect
cleistocalyx,SYZ165_S_cleistocalyx,syzygium,green,Calycine calyptra,Monomorphic sepals,Hyaline absent,sepal.shape indet.,opn.calyx indet.,impute,impute,Fused sepals,Free petals,impute,impute,6.92,3.53,2.225,2.73,0.351,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.92,0.92,Ascending ovules,Basal ovules,Style bent,6.73,NA,NA,calyx deciduous,green,NA,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands absent,NA,NA,erect
jambos,SYZ012_S_jambos_SingaporeBG,jambos,pink,No calyptra,Dimorphic sepals,Hyaline present,Rounded sepals,Erect calyx,5.81,8.31,Free sepals,Free petals,,8.285,18.245,12.565,5.14,NA,NA,Lip absent,disc flat,Filaments fold in middle,Oil glands absent,2.895,3.885,Ascending ovules,Basal ovules,Style bent,17.718,12.18,17.03,calyx remains,green,2.706,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,9.135,7.2,erect
velutinum,SYZ243_S_velutinum,caryophyllus,purple,No calyptra,Dimorphic sepals,Hyaline absent,Rounded sepals,opn.calyx indet.,9.1,11.2,Free sepals,Free petals,11.7,11.6,30.3,13.6,11.2,14.42,impute,Lip absent,disc vertical,Filaments fold in middle,Oil glands absent,4.82,4.23,Ascending ovules,Basal ovules,Style bent,20.76,40,40,calyx deciduous,no colour info on specimen sheet,impute,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,impute,impute,gbif or other source
garcinioides,SYZ360_S_garcinioides,jambos,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,opn.calyx indet.,3.35,3.02,Free sepals,Free petals,NA,NA,6.455,5,2.455,2.83,1.06,Lip absent,disc ascending,Filaments fold at base,Oil glands on anthers,1.04,0.78,Ascending ovules,Basal ovules,Style bent,6.775,NA,NA,calyx deciduous,no colour info on specimen sheet,NA,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,NA,NA,erect
cf. furfuraceum,SYZ365_S_cf_furfuraceum,caryophyllus,white,Calycine calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,impute,impute,Fused sepals,Free petals,NA,NA,4.645,2.815,1.32,1.67,0.52,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,0.975,1.445,Ascending ovules,Basal ovules,Style straight,1.305,12.2,9.53,calyx deciduous,red,2.69,cotyledons interlocking,testa free,hypocotyl not visible,oil glands absent,7.09,6.61,unknown
kalahiense,SYZ161_S_kalahiense,syzygium,white,Calyptrate corrola,Monomorphic sepals,Hyaline absent,sepal.shape indet.,opn.calyx indet.,0.5,1.5,Fused sepals,Fused petals,impute,impute,2.55,2.345,0.98,1.365,0.35,Lip absent,disc vertical,Filaments fold in middle,Oil glands absent,0.375,0.52,Ascending ovules,Basal ovules,Style straight,2.954,14.25,12.97,calyx deciduous,green,1.281,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,9.535,9.43,erect
polyanthum,SYZ146_S_polyanthum_SABAH,caryophyllus,white,Calyptrate corrola,Dimorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,1.09,1.09,Free sepals,Free petals,NA,NA,1.89,1.63,0.53,0.8,0.3,Lip absent,disc ascending,Filaments fold in middle,Oil glands on filaments and anthers,0.59,0.66,Ascending ovules,Basal ovules,Style straight,1.09,7.4,4.81,calyx remains,no colour info on specimen sheet,impute,cotyledons interlocking,testa adhering,hypocotyl visible,oil glands present,6.445,3.6,erect
scortechinii,SYZ157_S_scortechinii_SABAH,caryophyllus,yellow,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,Erect calyx,NA,NA,Free sepals,Free petals,4.1,4.6,13.25,12.35,5.15,7.95,1.4,Lip absent,disc vertical,,Oil glands absent,2.1,2.6,Ascending ovules,Basal ovules,Style TBA,8.33,17.695,19.49,calyx remains,green,1.273,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,11.645,8.788,pendant
samarangense,SYZ179_S_samarangense,caryophyllus,green,Calyptrate corrola,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,5.43,6.15,Free sepals,Free petals,impute,impute,11.22,8.7,2.8,9.07,impute,Lip absent,disc flat,Filaments fold at Top,Oil glands absent,2.24,1.69,Ascending ovules,Basal ovules,Style TBA,17.49,9,9,calyx remains,white,2.75,cotyledons interlocking,testa free,hypocotyl visible,oil glands absent,NA,NA,pendant
creaghii,SYZ246_S_creaghii_BRUNEI,caryophyllus,red,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,open sepals TBA,5.01,5.65,Free sepals,Free petals,7.45,7.275,14.525,7.945,5.1,NA,NA,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,1.48,2.04,Ascending ovules,Basal ovules,Style TBA,NA,15,15,NA,grey/brown,impute,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,impute,impute,pendant
suborbiculare,SYZ333_S_suborbiculare,jambos,white,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,opn.calyx indet.,2.865,3.825,Free sepals,Free petals,18,16,7.61,5,2.37,31,NA,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,1.17,0.94,Ascending ovules,Basal ovules,Style TBA,NA,62.5,50,calyx remains,red,7.5,cotyledons not interlocking,testa adhering,hypocotyl not visible,oil glands absent,42.5,42.5,erect
australe,SYZ334_S_australe,Australe,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,opn.calyx indet.,3.9,3.1,Free sepals,Free petals,3.63,2.715,4.81,3.625,0.98,2.805,0.69,Lip absent,disc ascending,Filaments fold in middle,Oil glands absent,1.27,1.15,Ascending ovules,Basal ovules,Style TBA,1.725,18.5,12.5,calyx remains,red,4.5,cotyledons not interlocking,testa free,hypocotylnot visible,na,9.5,8,erect
barringtonioides,SYZ166_S_barringtonioides_SABAH,syzygium,white,Calycine calyptra,Monomorphic sepals,Hyaline absent,sepal.shape indet.,opn.calyx indet.,impute,impute,Fused sepals,Free petals,impute,impute,8.98,5.19,2.39,5.12,0.59,Lip absent,disc ascending,Filaments fold in middle,Oil glands on anthers,1.28,1.295,Ascending ovules,Basal ovules,Style TBA,33.74,20.01,21.47,calyx deciduous,green,2.212,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands present,15.715,16.26,erect
tympananthum,SYZ401_S_tympananthum,caryophyllus,green,Calycine calyptra,Monomorphic sepals,Hyaline absent,Acute sepals,Erect calyx,8.49,10.73,Fused sepals,Free petals,impute,impute,8.99,8.44,2.19,impute,impute,Lip absent,disc flat,Filaments fold at Top,Oil glands on filaments and anthers,0.71,1.52,Ascending ovules,Basal ovules,Style TBA,17.42,13.5,12.5,calyx remains,red,NA,cotyledons not interlocking,n/a,hypocotyl not visible,oil glands absent,NA,NA,gbif or other source
versteegii,SYZ358_S_versteegii,jambos,red,No calyptra,Monomorphic sepals,Hyaline present,Rounded sepals,Reflexed calyx,7.62,11.22,Free sepals,Free petals,12,impute,15.18,8.47,5.7,30,impute,Lip absent,disc ascending,Filaments fold in middle,Oil glands on filaments and anthers,1.53,1.64,Ascending ovules,Basal ovules,Style TBA,42,impute,impute,calyx indet,no colour info on specimen sheet,impute,cotyledons indet,testa indet,hypocotyl indet,oil glands indet,impute,impute,erect
argyropedicum,SYZ345_S_argyropedicum,fibrosum,white,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,open sepals TBA,1.47,4.14,Free sepals,Free petals,4.25,4.25,4.36,2.83,1.33,5.1,0.52,Lip absent,disc flat,Filaments fold in middle,n/a,1.25,1.92,Ovules radiating,Basal ovules,Style bent,5.1,17.5,24,calyx remains,purple,2.5,cotyledons not interlocking,testa free,hypocotyl not visible,oil glands absent,17,17,erect
puberulum,SYZ324_S_puberulum_AUSTRALIA,caryophyllus,red,No calyptra,Monomorphic sepals,Hyaline absent,Rounded sepals,opn.calyx indet.,2.5,impute,Free sepals,Free petals,9,NA,16.5,14.5,impute,25,1.6,Lip absent,disc vertical,Filaments fold at Top,Oil glands on filaments and anthers,NA,NA,Ascending ovules,Central ovules, Style curved once,36.5,37.5,40,calyx remains,red,7.5,cotyledons interlocking,testa adhering,hypocotyl not visible,oil glands absent,30,30,pendant
